DonorCode,paths,DonorType,DonorCode_1,Num,x1
_NS72,42,42,42,42,2.0
_NS73,75,75,75,75,2.0
_NS74,100,100,100,100,1.0
_NS75,122,122,122,122,1.0
_NS76,131,131,131,131,1.0
_NS77,9,9,9,9,3.0
_NS79,16,16,16,16,3.0
_NS80,5,5,5,5,3.0
_NS81,10,10,10,10,3.0
_NS83,1,1,1,1,2.0
_NS84,7,7,7,7,3.0
_NS85,1,1,1,1,3.0
_NS86,14,14,14,14,2.0
_NS87,1,1,1,1,3.0
_NS88,9,9,9,9,3.0
_NS89,7,7,7,7,3.0
_NS90,19,19,19,19,3.0
_NS91,8,8,8,8,3.0
_NS92,9,9,9,9,3.0
_NS93,34,34,34,34,3.0
_NS94,3,3,3,3,3.0
_NS95,5,5,5,5,3.0
_NS96,13,13,13,13,3.0
_NS97,10,10,10,10,3.0
