Wall time,Step,Value
1637615473.5313342,18,75.0
1637615579.424776,47,62.5
1637615633.8825634,62,62.5
1637615637.0478904,63,37.5
1637615730.0900111,89,37.5
1637615779.4652796,103,50.0
1637615793.107666,107,37.5
1637616346.9587657,128,25.0
1637616478.706314,164,37.5
1637616507.7823565,172,37.5
1637616574.5675955,191,37.5
1637616770.6149502,244,62.5
1637617399.2843773,259,50.0
1637617483.1597867,282,37.5
1637617615.0192957,319,37.5
1637617778.2499113,366,25.0
1637618327.3702943,386,62.5
1637618382.4534519,402,75.0
1637618429.469437,415,37.5
1637618508.7173316,437,50.0
1637618610.553147,465,37.5
1637618645.5883207,475,25.0
1637618667.23966,481,12.5
1637618771.0588973,510,25.0
1637619430.0936358,533,62.5
1637619450.7358992,538,50.0
1637619458.0599842,540,62.5
1637619514.9653423,556,25.0
1637619657.1720614,596,75.0
1637619806.1390111,637,62.5
1637620298.533639,643,62.5
1637620303.9788985,644,37.5
1637620354.2941327,658,25.0
1637620415.8015652,675,12.5
1637620746.612452,764,50.0
1637621424.513389,788,62.5
1637621484.9557345,804,12.5
1637621666.5516129,857,25.0
1637621695.5788393,866,37.5
1637621765.633647,886,37.5
1637622429.4487844,942,87.5
1637622649.979831,1004,12.5
1637622688.340531,1015,37.5
1637623299.0801625,1026,0.0
1637623305.650167,1028,25.0
1637623333.1496263,1037,25.0
1637623401.548856,1056,25.0
1637623588.0868182,1109,37.5
1637623595.209765,1111,0.0
1637623644.134668,1125,50.0
1637623734.894831,1151,25.0
1637624207.0408647,1152,12.5
1637624249.8691423,1164,62.5
1637624285.5964775,1174,12.5
1637624292.812813,1176,25.0
1637624443.677374,1218,25.0
1637624464.7415383,1225,50.0
1637624561.2200181,1252,25.0
1637624567.2861352,1254,0.0
1637624588.1071389,1261,25.0
1637625291.6239984,1298,12.5
1637625458.0461037,1345,50.0
1637625561.3492794,1375,37.5
1637626174.7079794,1417,25.0
1637626253.874116,1439,12.5
1637626317.2289355,1457,37.5
1637626442.4748752,1494,37.5
1637626469.3154483,1502,12.5
1637626497.1567225,1510,25.0
1637626509.2110178,1513,12.5
1637627212.7487838,1548,12.5
1637627280.976585,1568,25.0
1637627342.4741006,1585,37.5
1637627379.314159,1596,25.0
1637627492.6687083,1627,25.0
1637627520.4982846,1635,25.0
1637628105.098538,1670,50.0
1637628154.4445217,1685,25.0
1637628220.8441963,1704,25.0
1637628248.3766344,1711,37.5
1637628477.783931,1777,25.0
1637628521.4335494,1789,37.5
1637629347.22643,1860,12.5
1637629490.8359368,1902,0.0
1637629520.0851283,1909,37.5
1637630087.2129984,1940,12.5
1637630102.597073,1945,25.0
1637630158.558107,1960,50.0
1637630159.3391924,1961,75.0
1637630224.711624,1979,37.5
1637631114.5671227,2070,37.5
1637631144.5794237,2079,25.0
1637631274.0779686,2115,25.0
1637632081.5269976,2215,25.0
1637632167.361289,2239,37.5
1637632182.4588068,2244,12.5
1637633015.2487333,2319,37.5
1637633160.463398,2359,25.0
1637633282.4227345,2394,12.5
1637633895.632661,2436,25.0
1637633909.6793592,2441,25.0
1637633956.0739977,2454,12.5
1637633983.9708734,2462,25.0
1637633995.8365424,2465,25.0
1637634130.2470536,2503,0.0
1637634180.613933,2517,50.0
1637634187.2383795,2519,12.5
1637634222.0602353,2530,37.5
1637634956.7765224,2577,25.0
1637634962.888074,2578,0.0
1637635161.301676,2635,0.0
1637635189.996016,2643,25.0
1637635296.4238799,2674,25.0
1637635325.2575908,2681,50.0
1637635333.7190974,2684,12.5
1637635821.314587,2693,12.5
1637635907.5910172,2717,0.0
1637635965.4422162,2734,12.5
1637635986.063321,2739,25.0
1637635986.845081,2740,12.5
1637636036.9126458,2754,25.0
1637636043.4498124,2755,0.0
1637636078.7565498,2765,12.5
1637636087.3521402,2768,12.5
1637636147.7468848,2785,0.0
1637636928.4855537,2844,37.5
1637637201.911888,2921,25.0
1637637774.4737513,2955,12.5
1637637839.1009295,2973,0.0
1637638002.1788821,3019,12.5
1637638098.0349503,3047,37.5
1637638805.4466214,3084,12.5
1637638872.5117304,3103,0.0
1637638929.7463582,3119,0.0
1637639021.053003,3145,0.0
1637639184.1198902,3192,12.5
1637639211.5544286,3199,12.5
1637639679.7175622,3204,12.5
1637639734.3860922,3220,25.0
1637640037.9173653,3306,25.0
1637640783.9781797,3356,0.0
1637640848.4924695,3374,12.5
1637640884.2217839,3385,37.5
1637641607.2568452,3461,12.5
1637641686.327497,3483,25.0
1637641688.587856,3484,0.0
1637641714.947625,3491,12.5
1637641721.7255702,3493,0.0
1637641979.3748832,3566,0.0
1637642633.6301086,3588,25.0
1637642675.505345,3600,12.5
1637642719.8284578,3613,12.5
1637642733.0147424,3616,25.0
1637642876.9077766,3657,37.5
1637642884.3345375,3659,25.0
1637642891.297413,3661,12.5
1637642904.951018,3664,12.5
1637643527.1769488,3712,12.5
1637643542.040416,3717,12.5
1637643670.208488,3754,0.0
1637643705.845051,3763,12.5
1637643771.0300107,3782,25.0
1637644585.3044744,3850,12.5
1637644654.1582537,3869,25.0
1637644770.4478717,3902,0.0
1637644820.2905157,3915,0.0
1637644883.244348,3933,0.0
1637645000.7160895,3966,25.0
1637645514.848015,3981,0.0
1637645623.2379532,4012,25.0
1637645630.0943131,4014,0.0
1637645663.07344,4023,0.0
1637645718.8062506,4040,0.0
1637645746.449158,4047,37.5
1637645871.3217368,4084,0.0
1637646525.8894718,4109,0.0
1637646547.3785143,4115,25.0
1637646583.4157076,4124,12.5
1637646661.558702,4146,0.0
1637646784.1307833,4181,25.0
1637647407.191547,4227,12.5
1637647729.6369078,4318,12.5
1637648565.0176208,4395,0.0
1637648707.3333151,4435,0.0
1637648732.9936757,4443,0.0
1637649517.0237389,4535,37.5
1637649631.0046973,4568,12.5
1637649650.8881865,4574,0.0
1637650329.8981204,4609,12.5
1637650343.6120121,4612,0.0
1637650470.4584737,4649,12.5
1637650506.2063081,4659,25.0
1637650672.6875844,4707,25.0
1637651308.8807666,4759,25.0
1637651353.3729672,4772,12.5
1637651367.057455,4776,12.5
1637651372.5181737,4777,50.0
1637651478.2917256,4807,37.5
1637651562.8697743,4832,12.5
1637651576.408234,4835,0.0
1637651604.143038,4844,12.5
1637652306.8342214,4882,0.0
1637652653.671703,4980,25.0
1637652696.255593,4991,25.0
1637653257.1963649,5023,0.0
1637653341.9476187,5047,0.0
1637653405.7167401,5066,0.0
1637653455.587989,5080,25.0
1637653482.351504,5088,25.0
1637653489.310405,5090,12.5
1637654229.5629396,5136,12.5
1637654243.3083603,5140,0.0
1637654297.114584,5155,37.5
1637654415.6133177,5187,12.5
1637654458.7004995,5198,12.5
1637654465.0453753,5200,12.5
1637654478.9274611,5205,12.5
1637654485.6630123,5207,50.0
1637654526.1766462,5218,0.0
1637654598.899725,5238,25.0
1637655149.6684237,5265,25.0
1637655255.076259,5295,25.0
1637655351.5830705,5322,0.0
1637655358.2470188,5324,0.0
1637655372.5441117,5328,25.0
1637655392.9338663,5334,25.0
1637656350.4030745,5445,25.0
1637656380.7468395,5454,25.0
1637656400.3087916,5459,0.0
1637657003.9477518,5504,12.5
1637657018.5449312,5509,12.5
1637657059.736991,5521,0.0
1637657349.966649,5604,12.5
1637658119.053775,5667,0.0
1637658336.8288343,5730,0.0
1637658432.777645,5758,0.0
1637659306.393533,5866,0.0
1637659354.0524507,5879,0.0
1637659368.850164,5882,0.0
1637660238.2675703,5956,12.5
1637660324.2172563,5981,0.0
1637660380.0261707,5997,0.0
1637660403.572271,6003,0.0
1637661050.3047962,6045,37.5
1637661169.6485505,6078,12.5
1637661176.3148584,6079,0.0
1637661289.7621958,6111,0.0
1637661296.7568119,6113,12.5
1637661384.642308,6138,25.0
1637661392.1679482,6140,0.0
1637661398.6417577,6142,12.5
1637662088.705861,6168,0.0
1637662297.883519,6225,0.0
1637662362.3759446,6243,0.0
1637663207.2090368,6334,25.0
1637663380.952767,6369,25.0
1637664274.729967,6406,12.5
1637664345.3330662,6424,0.0
1637664413.0009663,6443,0.0
1637664472.2857692,6459,12.5
1637664523.7671096,6473,0.0
1637664590.749699,6491,0.0
1637664601.5603633,6494,0.0
1637665321.8570805,6531,0.0
1637665432.7867885,6551,0.0
1637665490.7569652,6564,0.0
1637665518.344297,6569,0.0
1637665620.848527,6595,12.5
1637665695.9205396,6615,50.0
1637666740.1813524,6673,0.0
1637666942.813666,6720,12.5
1637666981.126585,6730,0.0
1637666996.2782183,6734,0.0
1637667054.5647867,6750,12.5
1637667092.509203,6761,12.5
1637667963.3926084,6821,0.0
1637668057.7963898,6842,12.5
1637668095.8887944,6850,0.0
1637668143.108588,6859,0.0
1637668227.7314541,6875,12.5
1637669172.792678,6930,0.0
1637669198.2973137,6937,12.5
1637669374.7280576,6975,0.0
1637669442.0024726,6991,0.0
1637669472.6795995,6998,0.0
1637669552.9823897,7018,0.0
1637670249.0868914,7044,12.5
1637670569.2510922,7117,0.0
1637670585.612585,7120,0.0
1637670609.536093,7126,0.0
1637671533.0491307,7177,0.0
1637671559.1253197,7180,12.5
1637671742.016824,7225,0.0
1637671840.1239288,7253,0.0
1637671913.6798074,7274,12.5
1637672539.3295982,7308,0.0
1637672647.0566394,7334,0.0
1637672663.6698134,7338,0.0
1637672728.8640392,7353,0.0
1637672746.8999977,7358,0.0
1637672785.6260865,7367,0.0
1637672857.9945729,7385,0.0
1637673668.4938285,7424,0.0
1637673716.7200677,7436,0.0
1637673829.639391,7464,0.0
1637673846.185895,7468,12.5
1637673903.49279,7482,12.5
1637674004.8689497,7506,0.0
1637674052.867766,7518,12.5
1637674085.7237172,7526,12.5
1637674109.209252,7532,12.5
1637674153.6525419,7543,0.0
1637674185.4440577,7551,0.0
1637674736.3828692,7553,0.0
1637674901.753315,7593,0.0
1637674952.2985263,7604,0.0
1637674961.831396,7607,0.0
1637675095.3159094,7638,0.0
1637676108.662453,7727,0.0
1637676227.9545252,7756,0.0
1637676245.7885778,7761,0.0
1637676381.8254678,7795,0.0
1637677019.3785148,7821,12.5
1637677156.1069427,7855,12.5
1637677162.89432,7856,12.5
1637677268.9978654,7882,0.0
1637677317.129282,7895,12.5
1637677443.574516,7926,0.0
1637677453.0640297,7929,0.0
1637678451.3606436,7986,0.0
1637678679.0729396,8032,0.0
1637678785.3846376,8054,25.0
1637679498.8559625,8078,0.0
1637679585.74718,8096,0.0
1637679711.5572498,8122,0.0
1637679812.531581,8144,0.0
1637679901.0412757,8164,0.0
1637680755.2978735,8192,0.0
1637680860.282602,8216,0.0
1637681031.981961,8255,0.0
1637681130.9345725,8277,12.5
1637681188.3743365,8291,0.0
1637681938.9781272,8349,0.0
1637681994.797129,8363,0.0
1637682051.9547222,8377,0.0
1637682187.7957237,8411,0.0
1637682210.2072127,8416,12.5
1637683146.6982262,8491,0.0
1637683201.7340193,8504,12.5
1637683266.0027301,8521,12.5
1637683306.9188812,8530,0.0
1637683376.3435214,8548,0.0
1637683397.690751,8554,0.0
1637683432.1041691,8563,12.5
1637684141.2644446,8606,0.0
1637684190.435919,8618,0.0
1637684198.7680423,8620,0.0
1637684224.158756,8627,0.0
1637684366.2057543,8663,0.0
1637684514.4881034,8700,0.0
1637685229.9810362,8718,0.0
1637685362.6614404,8752,0.0
1637685370.932905,8754,0.0
1637685506.674441,8788,0.0
1637685551.206958,8799,12.5
1637686209.9314728,8833,0.0
1637686339.1615527,8865,0.0
1637686362.247981,8870,0.0
1637686390.286073,8877,0.0
1637686434.8997228,8888,25.0
1637687547.9434981,8990,0.0
1637687813.9231074,9049,0.0
1637687849.2101002,9058,12.5
1637687901.184612,9070,0.0
1637688695.9332466,9117,0.0
1637688715.473213,9121,12.5
1637688876.1456964,9152,12.5
1637689062.0170574,9193,0.0
1637689929.078795,9226,25.0
1637690225.0348873,9291,0.0
1637690276.5130448,9303,0.0
1637690284.7153442,9305,0.0
1637690315.209074,9312,0.0
1637691045.7022164,9365,0.0
1637691050.5566025,9366,12.5
1637691075.603762,9372,0.0
1637691095.199073,9377,0.0
1637691136.09375,9387,0.0
1637691412.4115593,9456,0.0
1637692125.7466965,9472,0.0
1637692190.802746,9488,0.0
1637692191.5801053,9489,0.0
1637692391.1146476,9538,0.0
1637692432.1521833,9547,0.0
1637692463.669613,9556,25.0
1637693176.4849935,9601,12.5
1637693201.415433,9607,0.0
1637693457.2010224,9671,0.0
1637693464.6029205,9672,0.0
1637693473.7537434,9675,0.0
1637693539.5481071,9692,0.0
1637693615.4596949,9712,0.0
1637694414.298308,9738,0.0
1637694470.8141344,9753,0.0
1637694476.3150463,9754,0.0
1637694546.370122,9772,0.0
1637694607.7415786,9788,0.0
1637694708.7319732,9813,0.0
1637694747.8783176,9824,0.0
1637694802.348362,9837,0.0
1637695439.8314843,9867,0.0
1637695470.9927952,9874,0.0
1637695551.4904613,9894,0.0
1637695640.082194,9916,0.0
1637695640.8593645,9917,12.5
1637695767.1114807,9948,0.0
1637695774.811204,9950,12.5
1637695814.8088248,9960,0.0
1637695890.4600863,9979,0.0
1637696553.9254296,9987,0.0
1637696577.4180932,9993,0.0
1637696973.7517996,10090,0.0
1637697632.7115319,10121,0.0
1637697656.5722408,10126,0.0
1637697706.7444272,10138,0.0
1637697913.1018724,10189,12.5
1637697921.5277264,10191,0.0
1637697992.0895035,10208,0.0
1637698017.5266416,10215,0.0
1637698890.6529074,10269,12.5
1637698935.4901476,10280,0.0
1637699000.0944695,10296,0.0
1637699192.4582767,10346,0.0
1637699904.3667157,10395,0.0
1637700104.4429932,10445,0.0
1637700128.8140473,10451,12.5
1637700132.2346928,10452,12.5
